minbound,shape,unit
-55500,38,1500
-7500,24,1500
0,24,3000

IX,IY,IZ,value
2,3,22,0
2,3,23,0
2,4,0,0.704573
2,4,1,0.732914
2,4,2,0.756992
2,4,3,0.775432
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,4,11,0
2,4,12,0
2,4,13,0
2,4,14,0
2,4,15,0
2,4,16,0
2,4,17,0
2,4,18,0
2,4,19,0
2,4,20,0
2,4,21,0
2,4,22,0
2,4,23,0
2,5,0,0.689729
2,5,1,0.716581
2,5,2,0.739147
2,5,3,0.756234
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,5,11,0
2,5,12,0
2,5,13,0
2,5,14,0
2,5,15,0
2,5,16,0
2,5,17,0
2,5,18,0
2,5,19,0
2,5,20,0
2,5,21,0
2,5,22,0
2,5,23,0
2,6,0,0.674156
2,6,1,0.699613
2,6,2,0.720804
2,6,3,0.736698
2,6,4,0
2,6,5,0.748876
2,6,6,0.744225
2,6,7,0.732721
2,6,8,0.715193
2,6,9,0.692669
2,6,10,0.66616
2,6,11,0.636536
2,6,12,0.604497
2,6,13,0.570583
2,6,14,0.535204
2,6,15,0.49867
2,6,16,0.461216
2,6,17,0.423022
2,6,18,0.384224
2,6,19,0.344931
2,6,20,0.305226
2,6,21,0.265176
2,6,22,0
2,6,23,0
2,7,0,0.657954
2,7,1,0.682111
2,7,2,0.702055
2,7,3,0.716894
2,7,4,0
2,7,5,0.728183
2,7,6,0.723881
2,7,7,0.713192
2,7,8,0.69679
2,7,9,0.675542
2,7,10,0.650329
2,7,11,0.621943
2,7,12,0.591046
2,7,13,0.558163
2,7,14,0.523705
2,7,15,0.487992
2,7,16,0.451266
2,7,17,0.41372
2,7,18,0.3755
2,7,19,0.336723
2,7,20,0.297482
2,7,21,0.257849
2,7,22,0
2,7,23,0
2,8,0,0.641208
2,8,1,0.664159
2,8,2,0.682971
2,8,3,0.696874
2,8,4,0
2,8,5,0.70739
2,8,6,0.703389
2,8,7,0.693414
2,8,8,0.678018
2,8,9,0.657934
2,8,10,0.633931
2,8,11,0.606728
2,8,12,0.57694
2,8,13,0.545076
2,8,14,0.511541
2,8,15,0.476656
2,8,16,0.440675
2,8,17,0.403795
2,8,18,0.366173
2,8,19,0.327934
2,8,20,0.289178
2,8,21,0.249984
2,8,22,0
2,8,23,0
2,9,0,0.623992
2,9,1,0.645824
2,9,2,0.66361
2,9,3,0.676679
2,9,4,0
2,9,5,0.686517
2,9,6,0.68278
2,9,7,0.673433
2,9,8,0.658938
2,9,9,0.639916
2,9,10,0.617042
2,9,11,0.59096
2,9,12,0.562244
2,9,13,0.531377
2,9,14,0.498758
2,9,15,0.464706
2,9,16,0.429478
2,9,17,0.393278
2,9,18,0.35627
2,9,19,0.318587
2,9,20,0.280334
2,9,21,0.241597
2,9,22,0
2,9,23,0
2,10,0,0.606365
2,10,1,0.627164
2,10,2,0.644016
2,10,3,0.65634
2,10,4,0
2,10,5,0.665579
2,10,6,0.662073
